SR. NO.,PARTY TYPE,ABBREVIATION,PARTY SYMBOL,PARTY NAME
252,U,KS,Hat,Kalinga Sena
253,U,KVD,Whistle,Krantikari Vikas Dal
254,U,LB,"Candles,Slate",Lok Bharati
255,U,LD,"Air Conditioner,Almirah,Battery Torch,Black Board,Candles,Carrot,Cauliflower,Cot,Cup &amp; Saucer,Scissors,Sewing Machine",Lok Dal
256,U,LKJP,"Air Conditioner,Almirah,Auto- Rickshaw",Loktantrik Janata Party (Secular)
257,U,LoRP,"FLUTE,Gas Cylinder",Loktantrik Rashrtavadi Party
258,U,lpi,Whistle,The Lok Party of India
259,U,LPI(V),Cup &amp; Saucer,Labour Party of India (V.V. Prasad)
260,U,LPR,Gas Cylinder,Lok Parivartan Party(DC)
261,U,LPSP,"Almirah,Gas Cylinder",Lokpriya Samaj Party
262,U,LS,Almirah,Lok Shakti
263,U,LSP,Whistle,Lok Satta Party
264,U,LSWP,Candles,Loktantrik Samajwadi Party
265,U,MADP,Auto- Rickshaw,Moulik Adhikar Party
266,U,MAHP,HOCKEY &amp; BALL,Mahanwadi Party
267,U,MaJP,Television,Manavadhikar Janshakti Party
268,U,MAMAK,Candles,Manithaneya Makkal Katchi
269,U,MaSP,"Almirah,Auto- Rickshaw,Ring,Scissors",Mahajana Socialist Party
270,U,MaSPa,Almirah,Mahila Swabhiman Party
271,U,MBCOI,Scissors,Most Backward Classes Of India
272,U,MBT,"Balloon,Bat,Kite,Television",Majlis Bachao Tahreek
273,U,MCO,Kite,Marxist Co-Ordination
274,U,MCPI,Carrom Board,Marxist Communist Party of India (United)
275,U,MD,"Auto- Rickshaw,Cup &amp; Saucer",Mahan Dal
276,U,MDMK,Top,Marumalarchi Dravida Munnetra Kazhagam
277,U,MDPF,Battery Torch,Manipur Democratic Peoples's Front
278,U,MEDP,FLUTE,Megh Desham Party
279,U,MHD,Scissors,Mahamukti Dal
280,U,MKUP,Kite,Majdoor Kisan Union Party
281,U,MMKA,BUCKET,Makkal Manadu Katchi
282,U,MMM,Basket containing Fruits,Manav Mukti Morcha
283,U,mmsp,Iron,Majlis Markaz-e-Siyasee Party
284,U,MNDP,"Almirah,Ceiling Fan,Cup &amp; Saucer,Kite,Pot",Minorities Democratic Party
285,U,MOP,Auto- Rickshaw,Moderate Party
286,U,MOSP,HOCKEY &amp; BALL,Moolniwasi Samaj Party
287,U,MPS(T),"Auto- Rickshaw,Bat,Ceiling Fan,Cup &amp; Saucer,Gas Cylinder,Scissors",Maharashtra Parivartan Sena (T)
288,U,MVA,Gas Cylinder,Maharashtra Vikas Aghadi
289,U,MwSP,Whistle,Manavtawadi Samaj Party
290,U,NADP,Stethoscope,Naya Daur Party
291,U,NAJC,Auto- Rickshaw,National Janhit Congress (AB)
292,U,NaLP,Kettle,National Lokmat Party
293,U,NAP,"Almirah,HOCKEY &amp; BALL",Naitik Party
294,U,NBDP,Table,Nav Bharat Democratic Party
295,U,NBNP,Dao,Nava Bharat National Party
296,U,NDEP,Kite,National Development Party
297,U,NEP,Black Board,Nagrik Ekta Party
298,U,NIP,Cup &amp; Saucer,New India Party
299,U,NJC,Almirah,Nehru Janhit Congress
300,U,NLP,"Almirah,Ceiling Fan,Table",National Loktantrik Party
301,U,NMK,Batsman,Namadhu Makkal Katchi
302,U,NNP,Kite,Navbharat Nirman Party
303,U,NOC,Candles,National Organisation Congress
304,U,NP,Table,National Party
305,U,NPT,Auto- Rickshaw,Navodyam Party
306,U,NRSN,FLUTE,Narayani Sena
307,U,NSBP,Candles,Nirjatita Samaj Biplabi Party
308,U,NTP,Coat,National Tiger Party
309,U,nuzp,Telephone,National Unionist Zamindara Party
310,U,NYP,"Battery Torch,Candles",National Youth Party
311,U,ojm,Kite,Odisha Jan Morcha
312,U,PAP,Bat,Prajatantra Aadhar Party
313,U,PBI,"FLUTE,Gas Stove","Proutist Bloc, India"
314,U,PCHVP,Table,Paschimanchal Vikas Party
315,U,PDS,"Battery Torch,Candles,Kite",Party for Democratic Socialism
316,U,PECP,"Brief Case,Ceiling Fan",Peace Party
317,U,PG,Kite,Peoples Guardian
318,U,PGSP,Helmet,Pragatisheel Samaj Party
319,U,PHRC,"Auto- Rickshaw,Black Board,Gas Cylinder,Pen Nib with Seven Rays",Poorvanchal Rashtriya Congress
320,U,pjdl,"Auto- Rickshaw,Television",Prem Janata Dal
321,U,PLP,Gas Cylinder,Punjab Labour Party
322,U,pms,Cup &amp; Saucer,Pragatisheel Magahi Samaj
323,U,PMSP,"Bat,Saw,Walking Stick",Pragatisheel Manav Samaj Party
324,U,PPI,Auto- Rickshaw,Parcham Party of India
325,U,PPIS,Candles,People's Party of India(secular)
326,U,PPOI,"Auto- Rickshaw,Balloon,Battery Torch,Television",Pyramid Party of India
327,U,PRCP,"Ceiling Fan,Cup &amp; Saucer,Kite,Pen Nib with Seven Rays,Sewing Machine,Television,Whistle",Prabuddha Republican Party
328,U,PRISM,Basket containing Fruits,Prism
329,U,PRSP,BUCKET,Prajatantrik Samadhan Party
330,U,PSJP,Kite,Parivartan Samaj Party
331,U,PSS,"Almirah,Bread",Proutist Sarva Samaj
332,U,PT,Television,Puthiya Tamilagam
333,U,PWPI,"Auto- Rickshaw,Cup &amp; Saucer",Peasants And Workers Party of India
334,U,QED,Glass Tumbler,Qaumi Ekta Dal
335,U,RaAD,Kite,Rashtriya Ambedkar Dal
336,U,RaBaP,Pressure Cooker,Rashtriya Bandhutwa Party
337,U,RAC,Cup &amp; Saucer,Rashtriya Congress (Babu Jagjivanram)
338,U,RaCP,Sewing Machine,Rashtriya Congress(J) Party
339,U,RADP,Carrot,Rashtriya Deshaj Party
340,U,RAHM,FLUTE,Rashtriya Ahinsa Manch
341,U,RAIM,Whistle,Rashtriya Indepndent Morcha
342,U,RaIP,"Grapes,Stethoscope",Rastriya Insaaf Party
343,U,RaJPa,Dish Antenna,Rashtriya Jankranti Party
344,U,RaJSP,"Candles,Electric Pole",Rashtriya Janadhikar Suraksha Party
345,U,RAKP,Scissors,Rashtriya Karmyog Party
346,U,RaMSP,Candles,Rashtriya Manav samman Party
347,U,RAPa,Green Chilli,Rashtriya Aam Party
348,U,raup,Cauliflower,Rashtriya Uttarakhand Party
349,U,ravp,Scissors,Rajnaitik Vikalp Party
350,U,RBC,Auto- Rickshaw,Republican Backward Congress
351,U,RBCP,Battery Torch,Rashtriya Bahujan Congress Party
352,U,RBHP,Kite,Rashtriya Bahujan Hitay Party
353,U,RBS,"Auto- Rickshaw,Whistle",Republican Bahujan Sena
354,U,RCMP,"CARPET,Cup &amp; Saucer",Rani Chennamma Party
355,U,RDHP,Electric Pole,Rajyadhikara Party
356,U,rdsc,"Auto- Rickshaw,Table Lamp",Regional Democratic Secular Congress
357,U,REP,Auto- Rickshaw,Rashtriya Ekta Party
358,U,RGD,Batsman,Rashtriya Garib Dal
359,U,RGOP,Cup &amp; Saucer,Rashtriya Gondvana Party
360,U,RJ,Scissors,Rashtriya Janmorcha
361,U,RJAP,Sewing Machine,Rashtriya Janadhikar Party
362,U,RJAVP,Electric Pole,Rashtriya Jatigat Aarakshan Virodhi Party
363,U,RJJM,Ceiling Fan,Rashtriya Jan-Jagram Morcha
364,U,RJM,Candles,Rashtriya Jankranti Morcha
365,U,RJNP,HOCKEY &amp; BALL,Rashtriya Janasachetan Party (R.J.P.)
366,U,RJP(E),Glass Tumbler,Rashtriya Janshakti Party(Eklavya)
367,U,RJPK,Battery Torch,Rashtriya Janwadi Party (Krantikari)
368,U,RJVP,Gas Cylinder,Rajasthan Vikas Party
369,U,RKEP,Gas Cylinder,Rashtriya Komi Ekta Party
370,U,RKSP,"Air Conditioner,Auto- Rickshaw,Camera,FLUTE,Scissors,Telephone",Rashtriya Krantikari Samajwadi Party
371,U,RMGP,"FLUTE,Stethoscope",Rashtriya mahan Gantantra Party
372,U,RMOP,BUCKET,RASHTRIYA MORCHA PARTY
373,U,RND,"Almirah,Battery Torch",Rashtriya Naujawan Dal
374,U,RP(K),"Auto- Rickshaw,BUCKET,Electric Pole,Ring,Sewing Machine",Republican Paksha (Khoripa)
375,U,RPC(S),Gas Cylinder,Rashtriya Praja Congress  (Secular)
376,U,RPD,Kite,Rashtriya Parivartan Dal
377,U,RPI,"Candles,Kite,Letter Box,Ring,Sewing Machine,Television",Republican Party of India
378,U,RPI(A),Sewing Machine,Republican Party of India (A)
379,U,RPI(KH),"Auto- Rickshaw,Battery Torch,Candles,Cup &amp; Saucer,Electric Pole,Kite",Republican Party of India (Khobragade)
380,U,RPIE,Battery Torch,Republican Party of India Ektavadi
381,U,RPP(LB),Sewing Machine,"Rashtrawadi Parivartan Party (L.B,)"
382,U,RPS,Gas Cylinder,Rayalaseema Parirakshana Samithi
383,U,RRP,Hat,Rashtriya Rashtrawadi Party
384,U,RrSP,Coconut,Rashtriya Sarvajan Party
385,U,RsAD,Walking Stick,Rashtriya Apna Dal
386,U,RSD,FLUTE,Rashtriya Sawarn Dal
387,U,RshJP,Walking Stick,Rashtriya Janshanti Party
388,U,RSMD,"Grapes,Kite,Sewing Machine",Rashtriya Samanta Dal
389,U,RSOSP,Kettle,Rashtriya Shoshit Samaj Party
390,U,RSPK(B),Gas Cylinder,Revolutionary Socialist Party of Kerala  (Bolshevik) RSP.B
391,U,RSPS,"Camera,Cauliflower,Cup &amp; Saucer",Rashtriya Samaj Paksha
392,U,RSSDP,Cup &amp; Saucer,Rashtriya Sant Sandesh Party
393,U,RSWD,Almirah,Rashtra Sewa Dal
394,U,RtJP,Candles,Rashtriya Janpriya Party
395,U,RTKP,Stethoscope,Rashtriya Kranti Party
396,U,RtrJP,Scissors,Rashtriya Janta Party
397,U,RUC,"Balloon,Kettle,Saw,Sewing Machine,Walking Stick",Rashtriya Ulama Council
398,U,RVLP,Table Lamp,RASHTRIYA VIKLANG PARTY
399,U,RVMP,Camera,Rashtriya Vikas Manch Party
400,U,RVNP,"Auto- Rickshaw,Battery Torch,Ceiling Fan,Ring",Rashtravadi Janata Party
401,U,RVP,Gas Cylinder,Rashtriya Vikas Party
402,U,RWSP,Whistle,Rashtrawadi Samaj Party
403,U,S(J),"Auto- Rickshaw,Gas Stove",Swaraj (J)
404,U,SaBP,Cup &amp; Saucer,Sankhyanupati Bhagidari Party
405,U,SAD(M),"BUCKET,HOCKEY &amp; BALL,Kite,Sewing Machine",Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
406,U,SaDa,Frying Pan,Sarvshreshth Dal
407,U,SAMO,Battery Torch,Samruddha Odisha
408,U,SamSP,Electric Pole,Samata Samadhan Party
409,U,SAP,"Air Conditioner,Almirah,Battery Torch,Candles,Scissors",Samata Party
410,U,SARP,Scissors,Samtawadi Republican Party
411,U,SaSaP,Cup &amp; Saucer,Samajwadi Samaj Party
412,U,SaVP,Trumpet,Samta Vikas Party
413,U,SBSP,"Ring,Walking Stick",Suheldev Bhartiya Samaj Party
414,U,SDP,"Auto- Rickshaw,Candles",Socialistic Democratic Party
415,U,SDPI,"Auto- Rickshaw,Ceiling Fan",SOCIAL DEMOCRATIC PARTY OF INDIA
416,U,SHP,Auto- Rickshaw,Shramajeevi Party
417,U,shsap,Almirah,Shoshit Sandesh Party
418,U,SJD,Ring,Socialist Janata (Democratic)
419,U,SJP(R),"Battery Torch,Diesel Pump",Samajwadi Janata Party (Rashtriya)
420,U,SJPA,Gas Cylinder,Sarva Janata Party
421,U,skd,Scissors,Samata Kranti Dal
422,U,SKLP,Balloon,Sarvajan Kalyan Loktantrik Party
423,U,SKM,Table Lamp,Sikkim Krantikari Morcha
424,U,SLAP,Bat,Social Action Party
425,U,SLP(L),BUCKET,Socialist Party (Lohia)
426,U,SP(I),"Air Conditioner,Battery Torch,Dolli,Kite,Television",Socialist Party (India)
427,U,SPP,"Bat,Batsman,Bottle",Samyak Parivartan Party
428,U,sps,"Bat,Kite",Samaikyandhra Parirakshana Samithi
429,U,SRP,"Dish Antenna,Telephone",Socialist Republican Party
430,U,SSAD,Chappals,Sanyukt Samajwadi Dal
431,U,SSBD,Candles,Shakti Sena (Bharat Desh)
432,U,SSD,"Carrot,Saw",Shoshit Samaj Dal
433,U,SSKP,Auto- Rickshaw,Sarva Samaj Kalyan Party
434,U,SSPD,Candles,SARVAJAN SAMAJ PARTY (D)
435,U,ssrd,Grapes,Sanatan Sanskriti Raksha Dal
436,U,STR,Electric Pole,Samaikya Telugu Rajyam
437,U,SUCI,"Battery Torch,Glass Tumbler,Kite",SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
438,U,SVPP,Kite,Sardar Vallabhbhai Patel Party
439,U,SVRP,Sewing Machine,Shivrajya Party
440,U,SWJP,"Battery Torch,Black Board",Samajwadi Jan Parishad
441,U,SWP,Whistle,Swabhimani Paksha
442,U,SWPI,"Battery Torch,Gas Stove,Pen Nib with Seven Rays",Swarajya Party Of India
443,U,SWSP,Pressure Cooker,Swatantra Samaj Party
444,U,TECPI,Auto- Rickshaw,Telangana Communist Party of India
445,U,TLP,Gas Cylinder,Telangana Loksatta Party
446,U,TNMC,"Frying Pan,Pen Nib with Seven Rays",Tamil Nadu Makkal Congress
447,U,TPGC,Candles,Tripura Pragatishil Gramin Congress
448,U,TRMRPPI,Harmonium,The Religion of Man Revolving Political Party of India
449,U,TTNC,Batsman,Thrinamool Tamil Nadu Congress
450,U,UCPI,"Dao,Ring",United Communist Party of India
451,U,UMK,Gas Cylinder,Ulzaipali Makkal Katchy
452,U,UPI,Ceiling Fan,Union Party of India
453,U,UPP,Scissors,UTTARAKHAND PARIVARTAN PARTY
454,U,UPRP,Sewing Machine,Uttar Pradesh Republican Party
455,U,VAJP,Walking Stick,Vanchit Jamat Party
456,U,VCK,Ring,Viduthalai Chiruthaigal Katchi
457,U,VHS,Batsman,Vishva Hindustani Sangathan
458,U,VIP,Gas Cylinder,VANCHITSAMAJ INSAAF PARTY
459,U,VJCP,Chappals,Vichara Jagruthi Congress Paksha
460,U,VoP,Candles,Voters Party
461,U,VSP,Gas Stove,Vishva SHakti Party
462,U,WPOI,"Auto- Rickshaw,Battery Torch,BUCKET,Ceiling Fan,Gas Cylinder,Kite,Ring,Scissors",Welfare Party Of India
463,U,YSRCP,Ceiling Fan,Yuvajana Sramika Rythu Congress Party
464,U,YuS,Candles,Yuva Sarkar
465,Z,IND,"Air Conditioner,Almirah,Auto- Rickshaw,Balloon,Basket containing Fruits,Bat,Batsman,Battery Torch,BELT,Black Board,Bottle,Bread,Brief Case,Brush,BUCKET,Cake, CALCULATOR, Ca Board,Carrot,Cauliflowe
r,Ceiling
Fan,Chappals,CHESS
BOARD,Coat,Coconut,
Cot,Cup &amp;
Saucer,CUTTING
PLIERS,Dao,Diesel
Pump,Dish
Antenna,Dolli,Electric
Pole,Envelope,FLUTE,F
rock,Frying
Pan,Funnel,Gas
Cylinder,Gas
Stove,Glass
Tumbler,Grapes,Green
Chilli,Harmonium,Hat,H
elmet,HOCKEY &amp;
BALL,Ice
Cream,Iron,Kettle,Kite,L
ady Purse,Letter
Box,Mixee,Nail
Cutter,Neck Tie,Pen Nib
with Seven Rays,Pen
Stand,PENCIL
SHARPNER,Plate
Stand,Pot,Pressure
Cooker,Razor,Refrigerat
or,Ring,Saw,School
Bag,Scissors,Sewing
Machine,Shuttle,Slate,S
tethoscope,Stool,Table, Table
Lamp,Telephone,Televis
ion,Tent,Tooth
Brush,Trumpet,Violin,W
alking
Stick,Whistle,Window Case,Brush,BUCKET,Cake,CALCULATOR,Camera,Candles,Car,CARPET,Carrom Board,Carrot,Cauliflower,Ceiling Fan,Chappals,CHESS BOARD,Coat,Coconut,Cot,Cup &amp; Saucer,CUTTING PLIERS,Dao,Diesel Pump,Dish Antenna,Dolli,Electric Pole,Envelope,FLUTE,Frock,Frying Pan,Funnel,Gas Cylinder,Gas Stove,Glass Tumbler,Grapes,Green Chilli,Harmonium,Hat,Helmet,HOCKEY &amp; BALL,Ice Cream,Iron,Kettle,Kite,Lady Purse,Letter Box,Mixee,Nail Cutter,Neck Tie,Pen Nib with Seven Rays,Pen Stand,PENCIL SHARPNER,Plate Stand,Pot,Pressure Cooker,Razor,Refrigerator,Ring,Saw,School Bag,Scissors,Sewing Machine,Shuttle,Slate,Stethoscope,Stool,Table,Table Lamp,Telephone,Television,Tent,Tooth Brush,Trumpet,Violin,Walking Stick,Whistle,Window",Independent
466,Z1,NOTA,NOTA,None of the Above
